          Var1                   Var2                    Var3                   Var4                    Var5                    Var6                   Var7                    Var8                    Var9                   Var10                  Var11                  Var12                  Var13                   Var14                   Var15                  Var16      
    _________________    ____________________    ____________________    ___________________    ____________________    ____________________    ___________________    ____________________    ____________________    ___________________    ___________________    ____________________    __________________    _____________________    ____________________    _________________

                    0       0.979111897192087                       0                      0                       0                       0                      0                       0                       0                      0                      0                       0                     0                        0                       0                    0
    0.979111897192087    -0.00155073677685637      -0.249548228163136     -0.762618525236492                       0                       0                      0                       0                       0                      0                      0                       0                     0                        0                       0                    0
                    0      -0.249548228163136       0.612901097784264                      0       0.718888046994652    4.19755628268971e-11                      0                       0                       0                      0                      0                       0                     0                        0                       0                    0
                    0      -0.762618525236492                       0    -0.0673885839981404      -0.205667923845334       0.566740760446315                      0                       0                       0                      0                      0                       0                     0                        0                       0                    0
                    0                       0       0.718888046994652     -0.205667923845334       -0.40026441225754                       0      0.235822135128102    8.25277522107056e-11                       0                      0                      0                       0                     0                        0                       0                    0
                    0                       0    4.19755628268971e-11      0.566740760446315                       0      0.0254202950061089      0.296070926480286       0.399700551535268                       0                      0                      0                       0                     0                        0                       0                    0
                    0                       0                       0                      0       0.235822135128102       0.296070926480286     -0.573432106392464                       0       0.302236562504834    -0.0235151769808824                      0                       0                     0                        0                       0                    0
                    0                       0                       0                      0    8.25277869472264e-11       0.399700551535268                      0       0.206325507987155                       0      0.521789508978163                      0                       0                     0                        0                       0                    0
                    0                       0                       0                      0                       0                       0      0.302236562504834                       0      0.0522843848430555                      0     -0.653647352908414    4.90778633120819e-10                     0                        0                       0                    0
                    0                       0                       0                      0                       0                       0    -0.0235151769808825       0.521789508978163                       0     -0.342148630790828    -0.0271858076793712      -0.550017797822641                     0                        0                       0                    0
                    0                       0                       0                      0                       0                       0                      0                       0      -0.653647352908414     -0.027185807679371       0.15481292796204                       0    -0.458893837711663    -3.25967243024779e-10                       0                    0
                    0                       0                       0                      0                       0                       0                      0                       0    4.90778688631971e-10     -0.550017797822641                      0        0.26813407163389     0.370917183993096        0.202857401524021                       0                    0
                    0                       0                       0                      0                       0                       0                      0                       0                       0                      0     -0.458893837711663       0.370917183993096    -0.122832677828792                        0       0.739658017531348                    0
                    0                       0                       0                      0                       0                       0                      0                       0                       0                      0    -3.259672381991e-10       0.202857401524021                     0        0.683874171289393      -0.311074509266331                    0
                    0                       0                       0                      0                       0                       0                      0                       0                       0                      0                      0                       0     0.739658017531348       -0.311074509266331    -0.00155073677694554    0.979111897192273
                    0                       0                       0                      0                       0                       0                      0                       0                       0                      0                      0                       0                     0                        0       0.979111897192273                    0

>> 
