      Var1                   Var2                    Var3                   Var4                    Var5                    Var6                    Var7                   Var8                    Var9                  Var10      
    _________________    ____________________    ____________________    ___________________    ____________________    _____________________    __________________    ____________________    ____________________    _________________

                    0       0.984994523194109                       0                      0                       0                        0                     0                       0                       0                    0
    0.984994523194109    -0.00845725778851375      -0.198073405176073     -0.787838028217483                       0                        0                     0                       0                       0                    0
                    0      -0.198073405176073        0.99557229751717                      0      0.0439728026439464    -2.31991997569701e-12                     0                       0                       0                    0
                    0      -0.787838028217483                       0    -0.0725655607890248      -0.249857698247782       -0.486869117782519                     0                       0                       0                    0
                    0                       0      0.0439728026439465     -0.249857698247782       0.777494327351559                        0    -0.263785692633746    -9.7215314116795e-12                       0                    0
                    0                       0    -2.3198991590153e-12     -0.486869117782519                       0       -0.288364847084481     0.410393223965411      -0.187448884212104                       0                    0
                    0                       0                       0                      0      -0.263785692633746        0.410393223965411     0.220088161250715                       0       0.725023703906767                    0
                    0                       0                       0                      0    -9.7215314116795e-12       -0.187448884212104                     0        -0.9062300039438       0.366418423823049                    0
                    0                       0                       0                      0                       0                        0     0.725023703906767       0.366418423823049    -0.00845725778851386    0.984994523194109
                    0                       0                       0                      0                       0                        0                     0                       0       0.984994523194109                    0

>> 
