          Var1                   Var2                    Var3                   Var4                   Var5                   Var6                   Var7                   Var8                    Var9                  Var10      
    _________________    ____________________    ____________________    __________________    ____________________    ___________________    __________________    ____________________    ____________________    _________________

                    0       0.984994523194109                       0                     0                       0                      0                     0                       0                       0                    0
    0.984994523194109    -0.00845725778851375      -0.427731624169947    -0.690628330021724                       0                      0                     0                       0                       0                    0
                    0      -0.427731624169947       0.793460085147818                     0       0.212632415206349    6.9948794376676e-12                     0                       0                       0                    0
                    0      -0.690628330021724                       0    -0.316894206668726      -0.351232887874612      0.284508653486458                     0                       0                       0                    0
                    0                       0       0.212632415206349    -0.351232887874612       0.188806699159921                      0     0.549482335556121    5.56931480472161e-12                       0                    0
                    0                       0    6.99494188771273e-12     0.284508653486458                       0     -0.448433959860944     0.369517808553686       0.679740431679962                       0                    0
                    0                       0                       0                     0       0.549482335556121      0.369517808553686    -0.136923673188549                       0       0.743065598593065                    0
                    0                       0                       0                     0    5.56937031587284e-12      0.679740431679963                     0       0.645979429712652      -0.328291560554313                    0
                    0                       0                       0                     0                       0                      0     0.743065598593065      -0.328291560554313    -0.00845725778851386    0.984994523194109
                    0                       0                       0                     0                       0                      0                     0                       0       0.984994523194109                    0

>> 
