0,0.984994523194109,0,0,0,0,0,0,0,0
0.984994523194109,-0.00845725778851375,0.812355730295328,0,0,0,0,0,0,0
0,0.812355730295328,-0.00906359828744824,0.58342246320848,0,0,0,0,0,0
0,0,0.58342246320848,-0.0104533659260115,0.524173218845831,0,-0.0581681553017743,0.134549428976052,0,0
0,0,0,0.524173218845831,-0.106584783027119,0.340478032810675,-0.562165202571515,0,0,0
0,0,0,0,0.340478032810675,0.844040235231999,0.313700732668375,0,0,0
0,0,0,-0.0581681553017743,-0.562165202571515,0.313700732668375,0.0171194845981989,0.567695536126954,0,0
0,0,0,0.134549428976052,0,0,0.567695536126954,-0.00906359828744664,0.812355730295328,0
0,0,0,0,0,0,0,0.812355730295328,-0.00845725778851386,0.984994523194109
0,0,0,0,0,0,0,0,0.984994523194109,0
