          Var1                   Var2                   Var3                   Var4                   Var5                   Var6                   Var7                     Var8                    Var9                    Var10                    Var11                   Var12                 Var13                   Var14                   Var15                  Var16      
    _________________    ____________________    ___________________    __________________    ____________________    __________________    _____________________    ____________________    ____________________    _____________________    _____________________    ___________________    __________________    _____________________    ____________________    _________________

                    0       0.979111897192087                      0                     0                       0                     0                        0                       0                       0                        0                        0                      0                     0                        0                       0                    0
    0.979111897192087    -0.00155073677685637      0.793317266642644    -0.120453508292145                       0                     0                        0                       0                       0                        0                        0                      0                     0                        0                       0                    0
                    0       0.793317266642644    -0.0138779594876101                     0       0.569410401005422                     0                        0                       0                       0                        0                        0                      0                     0                        0                       0                    0
                    0      -0.120453508292145                      0     0.531378644838168      0.0131345195287826    -0.669366974493911                        0                       0                       0                        0                        0                      0                     0                        0                       0                    0
                    0                       0      0.569410401005422    0.0131345195287826    -0.00822346793427363                     0        0.474782012943845    6.10169983168495e-12                       0                        0                        0                      0                     0                        0                       0                    0
                    0                       0                      0    -0.669366974493911                       0    -0.315840497595554        0.342435460865628       0.331573093960052                       0                        0                        0                      0                     0                        0                       0                    0
                    0                       0                      0                     0       0.474782012943845     0.342435460865628      -0.0535597138981162                       0       0.399296844218534    -7.01717004835139e-12                        0                      0                     0                        0                       0                    0
                    0                       0                      0                     0    6.10168592465889e-12     0.331573093960052                        0     -0.0182003115104004      -0.386408918131722        0.485183479906297                        0                      0                     0                        0                       0                    0
                    0                       0                      0                     0                       0                     0        0.399296844218534      -0.386408918131722       0.221174050275624                        0      -0.0519028672762677    2.1950185640787e-12                     0                        0                       0                    0
                    0                       0                      0                     0                       0                     0    -7.01717698724529e-12       0.485183479906297                       0      0.00247926393064088       0.0578483009567649      0.522413213067648                     0                        0                       0                    0
                    0                       0                      0                     0                       0                     0                        0                       0     -0.0519028672762677       0.0578483009567648        0.324576071508519                      0    -0.889518870712742    -8.22626766917609e-12                       0                    0
                    0                       0                      0                     0                       0                     0                        0                       0    2.19505476490928e-12        0.522413213067648                        0    0.00638327892275989     0.243998313645383        0.512385394400405                       0                    0
                    0                       0                      0                     0                       0                     0                        0                       0                       0                        0       -0.889518870712742      0.243998313645383    -0.271875494519629                        0      -0.408987980040167                    0
                    0                       0                      0                     0                       0                     0                        0                       0                       0                        0    -8.22617336436553e-12      0.512385394400406                     0       0.0932721807080491       0.690355100941795                    0
                    0                       0                      0                     0                       0                     0                        0                       0                       0                        0                        0                      0    -0.408987980040167        0.690355100941795    -0.00155073677694554    0.979111897192273
                    0                       0                      0                     0                       0                     0                        0                       0                       0                        0                        0                      0                     0                        0       0.979111897192273                    0

>> 
