          Var1                   Var2                   Var3                   Var4                   Var5                    Var6                     Var7                    Var8                  Var9                    Var10                    Var11                  Var12                  Var13                  Var14                   Var15                  Var16      
    _________________    ____________________    ___________________    ___________________    ___________________    _____________________    _____________________    __________________    ___________________    _____________________    _____________________    __________________    ___________________    ____________________    ____________________    _________________

                    0       0.979111897192087                      0                      0                      0                        0                        0                     0                      0                        0                        0                     0                      0                       0                       0                    0
    0.979111897192087    -0.00155073677685637      0.797766693685359    -0.0861953343260114                      0                        0                        0                     0                      0                        0                        0                     0                      0                       0                       0                    0
                    0       0.797766693685359    -0.0118190296899124                      0      0.554970569224349     2.24744474117438e-09                        0                     0                      0                        0                        0                     0                      0                       0                       0                    0
                    0     -0.0861953343260114                      0       0.87456208995583     -0.135093292372105        0.386828326727375                        0                     0                      0                        0                        0                     0                      0                       0                       0                    0
                    0                       0      0.554970569224349     -0.135093292372105    -0.0572180714960965                        0       -0.292186095641857    -0.418778158630758                      0                        0                        0                     0                      0                       0                       0                    0
                    0                       0    2.2474447292483e-09      0.386828326727374                      0        -0.57157108621039    -4.84333057764124e-09    -0.476956409516988                      0                        0                        0                     0                      0                       0                       0                    0
                    0                       0                      0                      0     -0.292186095641857    -4.84333054988566e-09       -0.517147769236212                     0      0.258509017287128     1.32830282392298e-09                        0                     0                      0                       0                       0                    0
                    0                       0                      0                      0     -0.418778158630758       -0.476956409516988                        0     0.120251134267766     -0.352535911855643        0.190443846820098                        0                     0                      0                       0                       0                    0
                    0                       0                      0                      0                      0                        0        0.258509017287128    -0.352535911855643    -0.0620335894276899                        0        0.367143482207334     0.493423959814084                      0                       0                       0                    0
                    0                       0                      0                      0                      0                        0     1.32830288168445e-09     0.190443846820098                      0        0.617075074352363    -2.58892191163798e-09     0.292233018181486                      0                       0                       0                    0
                    0                       0                      0                      0                      0                        0                        0                     0      0.367143482207334    -2.58892187000462e-09        0.700138415167541                     0    -0.0849867706049827    5.03611859386643e-10                       0                    0
                    0                       0                      0                      0                      0                        0                        0                     0      0.493423959814084        0.292233018181486                        0    0.0238958462787003      0.482033186674892      -0.205995216553243                       0                    0
                    0                       0                      0                      0                      0                        0                        0                     0                      0                        0      -0.0849867706049827     0.482033186674892      0.250989297414523                       0       0.706196952155784                    0
                    0                       0                      0                      0                      0                        0                        0                     0                      0                        0     5.03611910854472e-10    -0.205995216553243                      0      -0.869436266138247       0.380981886681736                    0
                    0                       0                      0                      0                      0                        0                        0                     0                      0                        0                        0                     0      0.706196952155784       0.380981886681736    -0.00155073677694554    0.979111897192273
                    0                       0                      0                      0                      0                        0                        0                     0                      0                        0                        0                     0                      0                       0       0.979111897192273                    0
