          Var1                   Var2                     Var3                   Var4                    Var5                     Var6                    Var7                     Var8                   Var9                    Var10                   Var11                    Var12                   Var13                   Var14                   Var15                   Var16                   Var17                   Var18                   Var19                   Var20                   Var21                  Var22                   Var23                  Var24      
    _________________    _____________________    ____________________    ___________________    _____________________    ____________________    _____________________    ____________________    ___________________    _____________________    ____________________    _____________________    ____________________    ____________________    ____________________    ____________________    ____________________    ____________________    ____________________    ____________________    ___________________    ___________________    _____________________    _________________

                    0        0.977475137827054                       0                      0                        0                       0                        0                       0                      0                        0                       0                        0                       0                       0                       0                       0                       0                       0                       0                       0                      0                      0                        0                    0
    0.977475137827054    -0.000723871634447847        0.11329538123731     -0.791637486798965                        0                       0                        0                       0                      0                        0                       0                        0                       0                       0                       0                       0                       0                       0                       0                       0                      0                      0                        0                    0
                    0         0.11329538123731       0.638786356499232                      0       -0.480350514009836    2.89402243745737e-07                        0                       0                      0                        0                       0                        0                       0                       0                       0                       0                       0                       0                       0                       0                      0                      0                        0                    0
                    0       -0.791637486798965                       0    -0.0138310002404293        0.118663406166045       0.540485132847954                        0                       0                      0                        0                       0                        0                       0                       0                       0                       0                       0                       0                       0                       0                      0                      0                        0                    0
                    0                        0      -0.480350514009836      0.118663406166045       -0.137646158368798                       0        0.509683767373878    -2.7652081190223e-07                      0                        0                       0                        0                       0                       0                       0                       0                       0                       0                       0                       0                      0                      0                        0                    0
                    0                        0    2.89402243717982e-07      0.540485132847954                        0     -0.0308396952524648       -0.264645644153994       0.529876204483928                      0                        0                       0                        0                       0                       0                       0                       0                       0                       0                       0                       0                      0                      0                        0                    0
                    0                        0                       0                      0        0.509683767373878      -0.264645644153994        -0.26114734944309                       0      0.409869477417677    -1.53665946472617e-07                       0                        0                       0                       0                       0                       0                       0                       0                       0                       0                      0                      0                        0                    0
                    0                        0                       0                      0    -2.76520811791207e-07       0.529876204483928                        0     0.00657287017218179      0.203351778882635        0.495489455382013                       0                        0                       0                       0                       0                       0                       0                       0                       0                       0                      0                      0                        0                    0
                    0                        0                       0                      0                        0                       0        0.409869477417677       0.203351778882635      0.109589183445666                        0      -0.429375675083794    -1.50425101984189e-07                       0                       0                       0                       0                       0                       0                       0                       0                      0                      0                        0                    0
                    0                        0                       0                      0                        0                       0    -1.53665946500372e-07       0.495489455382013                      0       0.0961937944912002       0.324088795462745        0.452399788629033                       0                       0                       0                       0                       0                       0                       0                       0                      0                      0                        0                    0
                    0                        0                       0                      0                        0                       0                        0                       0     -0.429375675083794        0.324088795462745       0.125332487709914                        0      -0.480048825918467    2.06739935965004e-07                       0                       0                       0                       0                       0                       0                      0                      0                        0                    0
                    0                        0                       0                      0                        0                       0                        0                       0    -1.504251020397e-07        0.452399788629033                       0      -0.0415110701279983       0.165107256563057       0.495981677565297                       0                       0                       0                       0                       0                       0                      0                      0                        0                    0
                    0                        0                       0                      0                        0                       0                        0                       0                      0                        0      -0.480048825918467        0.165107256563057      -0.066625711363987                       0      -0.525762757288563    4.12686974883428e-08                       0                       0                       0                       0                      0                      0                        0                    0
                    0                        0                       0                      0                        0                       0                        0                       0                      0                        0    2.06739935944188e-07        0.495981677565297                       0       0.277915308000485      -0.153666971995186       0.360617866353438                       0                       0                       0                       0                      0                      0                        0                    0
                    0                        0                       0                      0                        0                       0                        0                       0                      0                        0                       0                        0      -0.525762757288563      -0.153666971995186     -0.0446079264716077                       0       0.472465449463782    1.94253216685757e-08                       0                       0                      0                      0                        0                    0
                    0                        0                       0                      0                        0                       0                        0                       0                      0                        0                       0                        0    4.12686974605872e-08       0.360617866353438                       0      -0.404086769963872       0.162445675975986       0.506372648595875                       0                       0                      0                      0                        0                    0
                    0                        0                       0                      0                        0                       0                        0                       0                      0                        0                       0                        0                       0                       0       0.472465449463782       0.162445675975986      0.0251051561760565                       0       0.498467401348849    2.35044489141253e-08                      0                      0                        0                    0
                    0                        0                       0                      0                        0                       0                        0                       0                      0                        0                       0                        0                       0                       0    1.94253215367367e-08       0.506372648595876                       0       0.414703373852298      0.0767872828739798      -0.394332111655393                      0                      0                        0                    0
                    0                        0                       0                      0                        0                       0                        0                       0                      0                        0                       0                        0                       0                       0                       0                       0       0.498467401348849      0.0767872828739798      0.0364168008830946                       0      -0.54568946090436    4.9267815430914e-08                        0                    0
                    0                        0                       0                      0                        0                       0                        0                       0                      0                        0                       0                        0                       0                       0                       0                       0    2.35044488586142e-08      -0.394332111655393                       0      -0.788844968619959     -0.141186591253161      0.144124256526007                        0                    0
                    0                        0                       0                      0                        0                       0                        0                       0                      0                        0                       0                        0                       0                       0                       0                       0                       0                       0       -0.54568946090436      -0.141186591253161    -0.0111431210937796                      0        0.795530824146289                    0
                    0                        0                       0                      0                        0                       0                        0                       0                      0                        0                       0                        0                       0                       0                       0                       0                       0                       0    4.92678154794863e-08       0.144124256526007                      0       0.98907689565314      -0.0815871386103924                    0
                    0                        0                       0                      0                        0                       0                        0                       0                      0                        0                       0                        0                       0                       0                       0                       0                       0                       0                       0                       0      0.795530824146289    -0.0815871386103924    -0.000723871439235009    0.977475137551412
                    0                        0                       0                      0                        0                       0                        0                       0                      0                        0                       0                        0                       0                       0                       0                       0                       0                       0                       0                       0                      0                      0        0.977475137551412                    0
