          Var1                   Var2                     Var3                   Var4                   Var5                    Var6                    Var7                    Var8                    Var9                   Var10                   Var11                   Var12                   Var13                   Var14                    Var15                   Var16                    Var17                    Var18                    Var19                    Var20                   Var21                   Var22                    Var23                  Var24      
    _________________    _____________________    ____________________    __________________    ____________________    ____________________    ____________________    ____________________    ____________________    ____________________    ____________________    ____________________    ____________________    ____________________    _____________________    ____________________    _____________________    _____________________    _____________________    _____________________    ___________________    _____________________    _____________________    _________________

                    0        0.977475137827054                       0                     0                       0                       0                       0                       0                       0                       0                       0                       0                       0                       0                        0                       0                        0                        0                        0                        0                      0                        0                        0                    0
    0.977475137827054    -0.000723871634447847      -0.242997214578183    -0.761891138957747                       0                       0                       0                       0                       0                       0                       0                       0                       0                       0                        0                       0                        0                        0                        0                        0                      0                        0                        0                    0
                    0       -0.242997214578183      -0.511064936681847                     0       0.791718997053968    1.03763553235331e-07                       0                       0                       0                       0                       0                       0                       0                       0                        0                       0                        0                        0                        0                        0                      0                        0                        0                    0
                    0       -0.761891138957747                       0    0.0511798714975057      -0.182892604764497       0.573143158225539                       0                       0                       0                       0                       0                       0                       0                       0                        0                       0                        0                        0                        0                        0                      0                        0                        0                    0
                    0                        0       0.791718997053968    -0.182892604764497       0.454519797238662                       0       0.262346185170463    2.66224257209915e-08                       0                       0                       0                       0                       0                       0                        0                       0                        0                        0                        0                        0                      0                        0                        0                    0
                    0                        0    1.03763553290842e-07     0.573143158225539                       0     -0.0119162202920035      0.0877608896912717       0.509816484544745                       0                       0                       0                       0                       0                       0                        0                       0                        0                        0                        0                        0                      0                        0                        0                    0
                    0                        0                       0                     0       0.262346185170463      0.0877608896912717      -0.245221062266917                       0       0.412194031992892    9.11469896225288e-09                       0                       0                       0                       0                        0                       0                        0                        0                        0                        0                      0                        0                        0                    0
                    0                        0                       0                     0    2.66224257279304e-08       0.509816484544745                       0      -0.007323080229484     -0.0363315385775728       0.502863964781624                       0                       0                       0                       0                        0                       0                        0                        0                        0                        0                      0                        0                        0                    0
                    0                        0                       0                     0                       0                       0       0.412194031992892     -0.0363315385775728      -0.173988848258705                       0      -0.517764468766073    5.68769946890951e-08                       0                       0                        0                       0                        0                        0                        0                        0                      0                        0                        0                    0
                    0                        0                       0                     0                       0                       0    9.11469901082514e-09       0.502863964781624                       0     -0.0596749332409545      -0.303470708971801      -0.318249214394951                       0                       0                        0                       0                        0                        0                        0                        0                      0                        0                        0                    0
                    0                        0                       0                     0                       0                       0                       0                       0      -0.517764468766074      -0.303470708971801       0.213254020600403                       0       0.394333919846681    5.31496280561914e-08                        0                       0                        0                        0                        0                        0                      0                        0                        0                    0
                    0                        0                       0                     0                       0                       0                       0                       0    5.68769946335839e-08      -0.318249214394951                       0      0.0123647717205539      -0.328308424883681       0.505280532032929                        0                       0                        0                        0                        0                        0                      0                        0                        0                    0
                    0                        0                       0                     0                       0                       0                       0                       0                       0                       0       0.394333919846681      -0.328308424883681       0.124088300930364                       0        0.514073750929816    7.64476917479651e-08                        0                        0                        0                        0                      0                        0                        0                    0
                    0                        0                       0                     0                       0                       0                       0                       0                       0                       0    5.31496279590468e-08       0.505280532032929                       0      -0.173854000546007      -0.0419615505045733       0.488798325597562                        0                        0                        0                        0                      0                        0                        0                    0
                    0                        0                       0                     0                       0                       0                       0                       0                       0                       0                       0                       0       0.514073750929816     -0.0419615505045734      -0.0750192235767335                       0       -0.463905054916139    -1.25114466448489e-07                        0                        0                      0                        0                        0                    0
                    0                        0                       0                     0                       0                       0                       0                       0                       0                       0                       0                       0    7.64476917202095e-08       0.488798325597561                        0       0.192842038448792      -0.0677387728886798        0.582537268507101                        0                        0                      0                        0                        0                    0
                    0                        0                       0                     0                       0                       0                       0                       0                       0                       0                       0                       0                       0                       0       -0.463905054916139     -0.0677387728886798       -0.133980330881412                        0        -0.45533760923545    -1.18603210390384e-07                      0                        0                        0                    0
                    0                        0                       0                     0                       0                       0                       0                       0                       0                       0                       0                       0                       0                       0    -1.25114466392978e-07       0.582537268507101                        0       -0.331987179748363      -0.0720398050228403        0.203104254949172                      0                        0                        0                    0
                    0                        0                       0                     0                       0                       0                       0                       0                       0                       0                       0                       0                       0                       0                        0                       0        -0.45533760923545      -0.0720398050228403       -0.123058885090352                        0     -0.518061388368591    -1.65053966956387e-08                        0                    0
                    0                        0                       0                     0                       0                       0                       0                       0                       0                       0                       0                       0                       0                       0                        0                       0    -1.18603210307117e-07        0.203104254949172                        0        0.815311948387742      0.126922739020843       0.0551808948207409                        0                    0
                    0                        0                       0                     0                       0                       0                       0                       0                       0                       0                       0                       0                       0                       0                        0                       0                        0                        0       -0.518061388368591        0.126922739020843    -0.0691045637675068                        0        0.772999360868231                    0
                    0                        0                       0                     0                       0                       0                       0                       0                       0                       0                       0                       0                       0                       0                        0                       0                        0                        0    -1.65053967233943e-08       0.0551808948207407                      0        0.972040971693545       -0.204933504949318                    0
                    0                        0                       0                     0                       0                       0                       0                       0                       0                       0                       0                       0                       0                       0                        0                       0                        0                        0                        0                        0      0.772999360868231       -0.204933504949318    -0.000723871439235009    0.977475137551412
                    0                        0                       0                     0                       0                       0                       0                       0                       0                       0                       0                       0                       0                       0                        0                       0                        0                        0                        0                        0                      0                        0        0.977475137551412                    0
